n_obs,condition,algorithm,trial,ctrl_ms,max_ep,min_clear,tube_safe,collision_free,task_success,qp_infeas_pct
5,disturbed,GA-STT,15,3.5937850822250845,0.5203100113666744,0.7206213819561427,True,True,True,nan
5,disturbed,GA-STT,16,2.9738938791896183,0.6267541627291228,0.7076471811860914,True,True,False,nan
5,disturbed,GA-STT,17,2.9831112947529936,0.6690511849392436,0.6551725700051816,True,True,False,nan
5,disturbed,GA-STT,18,3.0127699898793314,0.5847016927714069,0.5550362219275872,True,True,False,nan
5,disturbed,GA-STT,19,2.9734264104981785,0.4450349894568605,0.8656821157359085,True,True,True,nan
5,disturbed,GA-STT,20,2.9008278823606677,0.6100658327945607,1.730483640698259,True,True,False,nan
5,disturbed,GA-STT,21,2.9670899683695304,0.5460242122783102,1.1784987057636953,True,True,False,nan
5,disturbed,GA-STT,22,3.1160045313144886,0.56239930150495,0.894501920051783,True,True,False,nan
5,disturbed,GA-STT,23,2.9963027691366393,0.5738611631691487,1.015072613531487,True,True,False,nan
5,disturbed,GA-STT,24,2.9048653788712873,0.5850702222712699,1.3447458112627686,True,True,True,nan
5,disturbed,Baseline,0,3.059364033523316,0.6201065955950187,0.4925635170302568,True,True,True,nan
5,disturbed,Baseline,1,2.9239981119565845,0.7413346289133231,1.020260136405009,True,True,False,nan
5,disturbed,Baseline,2,2.9772426856446366,0.7101270560203141,0.6214522881721432,True,True,False,nan
5,disturbed,Baseline,3,3.0735052213788316,0.774771066257585,0.7191658756185545,True,True,False,nan
5,disturbed,Baseline,4,2.758555780518421,0.7696847959414084,0.9794604658026784,True,True,False,nan
5,disturbed,Baseline,5,2.7669689070187204,0.7167468989133186,1.8318366184968076,True,True,False,nan
5,disturbed,Baseline,6,2.7571050006296454,0.743307587055513,1.3753548829810731,True,True,False,nan
5,disturbed,Baseline,7,3.0016137356132786,0.740004620392892,1.0004306206274762,True,True,True,nan
5,disturbed,Baseline,8,2.8042519898780616,0.7697947084222304,0.8360966363092703,True,True,False,nan
5,disturbed,Baseline,9,2.9198769310572885,0.7411410579189007,0.5721397614691046,True,True,True,nan
5,disturbed,Baseline,10,2.9036053548379774,0.7770168303029995,1.0444371444130987,True,True,False,nan
5,disturbed,Baseline,11,2.8990411827955533,0.6750749563914554,1.1418409752776741,True,True,True,nan
5,disturbed,Baseline,12,2.763059024666571,0.7449623900952052,1.5907212621346871,True,True,False,nan
5,disturbed,Baseline,13,3.0495207210592077,0.6061634141571421,0.7494837812026806,True,True,True,nan
5,disturbed,Baseline,14,3.033736438961899,0.6771732147946028,1.0283152084430802,True,True,True,nan
5,disturbed,Baseline,15,3.463622916509041,0.7571445891004799,0.7176444204156385,True,True,False,nan
5,disturbed,Baseline,16,2.8454648336458805,0.8014367974763356,0.556734668196019,True,True,False,nan
5,disturbed,Baseline,17,2.85611029348591,0.7639759124722901,0.5646514511266785,True,True,False,nan
5,disturbed,Baseline,18,2.876908670464376,0.7920249178967131,0.4621339356346804,True,True,False,nan
5,disturbed,Baseline,19,2.845351803917362,0.7009926496581327,0.8948132592843869,True,True,False,nan
5,disturbed,Baseline,20,2.770109127764053,0.8120143252857099,1.901672766713667,True,True,False,nan
5,disturbed,Baseline,21,2.8504043219433317,0.7037397476832509,1.1643028369010415,True,True,True,nan
5,disturbed,Baseline,22,3.0038602112533384,0.7243094638069859,0.6833823855597854,True,True,False,nan
5,disturbed,Baseline,23,2.86752443074573,0.704915324500713,0.9980418210061099,True,True,False,nan
5,disturbed,Baseline,24,2.7637946748831546,0.7629398622909931,1.5328055880573028,True,True,False,nan
5,disturbed,CBF-QP,0,6.205062865907266,1.2626175552755399,0.7923867971297454,False,True,True,nan
5,disturbed,CBF-QP,1,6.2013177798868195,0.7543073821686209,0.7398404785495273,True,True,True,nan
5,disturbed,CBF-QP,2,6.20463960341434,0.7337689283300192,0.7361166263058707,True,True,True,nan
5,disturbed,CBF-QP,3,6.205006578113014,0.747440627975143,0.6197016612423849,True,True,True,nan
5,disturbed,CBF-QP,4,6.201180676155694,0.7411855187373498,1.266677071103683,True,True,True,nan
5,disturbed,CBF-QP,5,6.194033580012424,0.712142077829665,1.6616301388199524,True,True,True,nan
5,disturbed,CBF-QP,6,6.198275636307549,0.7626750991774706,1.5792862279145854,True,True,True,nan
5,disturbed,CBF-QP,7,6.202549842501164,0.7185549214584115,0.7647319087081792,True,True,True,nan
5,disturbed,CBF-QP,8,6.199390717900689,0.8258652275881188,0.9567944942059612,True,True,True,nan
5,disturbed,CBF-QP,9,6.201432915239965,0.7644800234202715,0.6691012690102749,True,True,True,nan
5,disturbed,CBF-QP,10,6.204214756485285,0.8385114661595651,0.8395254120802268,True,True,True,nan
5,disturbed,CBF-QP,11,6.197367672989771,0.9302971147872237,0.9888677463821562,True,True,True,nan
5,disturbed,CBF-QP,12,6.1982871075299455,0.7579114972517754,1.0917123071679133,True,True,True,nan
5,disturbed,CBF-QP,13,6.2115459165047,1.2650499262357433,0.7302264868083145,False,True,True,nan
5,disturbed,CBF-QP,14,6.194148655913465,0.7223445116131388,0.6605650468507611,True,True,True,nan
5,disturbed,CBF-QP,15,6.231632248577691,0.7517189501453378,0.632021006007963,True,True,True,nan
5,disturbed,CBF-QP,16,6.223553142314315,0.7852865585451133,0.862955082801522,True,True,True,nan
5,disturbed,CBF-QP,17,6.226831977863727,1.1393553686717426,0.8445278120534039,False,True,True,nan
5,disturbed,CBF-QP,18,6.2107166767862205,0.9615049949152781,0.5763664063610981,True,True,True,nan
